ImageNumber,FileName_OrigRNA,Metadata_ChannelID,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row,Metadata_target,Metadata_experiment_type,Metadata_cell_line,Metadata_pert_iname,Metadata_gene,Metadata_pubchem_cid,Texture_DifferenceVariance_OrigRNA_10_03_256,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Perimeter,Intensity_MeanIntensity_OrigRNA,Intensity_IntegratedIntensity_OrigRNA,Granularity_5_OrigRNA,RadialDistribution_FracAtD_OrigRNA_4of4
1,r01c01f01_median_aggregated.tiff,5,BR00116991,A01,1,0.134679005,-0.000322907,0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0004028902807504,4794.952380952381,2.188303572064296,0.7228120818781828,342.5140614707165,0.0967070634620052,399.2075181782601,2.499005342426614,0.3990291582857143
2,r01c01f02_median_aggregated.tiff,5,BR00116991,A01,2,0.134678707,-0.000968721,0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0004508247382346,6773.139393939394,2.0992499984509387,0.7336689826197571,376.43027282565527,0.1084757528214452,603.8303675404552,2.373040402285641,0.4437442065454545
3,r01c01f03_median_aggregated.tiff,5,BR00116991,A01,3,0.134673402,0.000322907,0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0004687238773788,6266.45045045045,2.3718541921659657,0.7318304608181389,399.92290639708506,0.0808361884408535,453.1560629416039,2.633960899789247,0.4145159128828828
4,r01c01f04_median_aggregated.tiff,5,BR00116991,A01,4,0.134673506,0.000968721,0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0003805528521007,5079.673913043478,2.3060873331722207,0.7691401631141765,366.4460871807029,0.0866611592604746,395.4359021692577,3.2081934254935947,0.4112259434782608
5,r01c01f05_median_aggregated.tiff,5,BR00116991,A01,5,0.134681493,-0.000968721,-0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0005104268999347,7910.912280701755,2.218526396606673,0.7329134644262715,431.3540875790913,0.0863631849675442,590.3147397698883,2.454651313357526,0.4362152342105263
6,r01c01f06_median_aggregated.tiff,5,BR00116991,A01,6,0.134677097,0.000322907,-0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0004022794738102,4545.075757575758,2.41735686586978,0.7364018774246055,355.06454782537094,0.1058931827708738,414.0373853661515,2.22993264186672,0.4188889709090909
7,r01c01f07_median_aggregated.tiff,5,BR00116991,A01,7,0.134674296,0.000968721,-0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0004569069089299,5267.648648648648,2.109886560142296,0.6959942566572298,350.6291883589337,0.0855175565211194,396.2154855661194,2.304136182072643,0.3762988445945945
8,r01c01f08_median_aggregated.tiff,5,BR00116991,A01,8,0.134680197,-0.000322907,-0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0004550705009415,6013.245901639344,2.353106984738494,0.7420818470932672,390.30157697448857,0.0921679128710386,447.50274498536265,2.7068033038627024,0.4137165490163934
9,r01c01f09_median_aggregated.tiff,5,BR00116991,A01,9,0.134681493,-0.000968721,-0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0,0.0004661582536849,6228.9672131147545,2.35008677069905,0.7306256359589434,394.6147999534688,0.0881956350395847,479.1086604931834,2.391058154411044,0.4068315006557377
10,r01c02f01_median_aggregated.tiff,5,BR00116991,A02,1,0.134649098,-0.000322907,0.000322907,-2e-06,1,,Compound,A549,DMSO,,,0.0004140982198724,4170.923076923077,2.160685778720152,0.723553297465051,317.03599877840134,0.1005846304158775,376.7793571736186,2.8444962733376187,0.4293732241538461
